aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,233804,,,20050202,6000,1,서울청과,서울청과,000000000000001,1,1750000,5,수입,0000000001,106,트럭,1ZZ,기타,26100,강원도 정선군,1001,1001,배추,배추,1Z,무등급,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536870,,,20050202,6000,1,서울청과,서울청과,000000000000002,2,1720000,3,개별,0000000002,106,트럭,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,1Z,무등급,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536873,,,20050202,10,529,서울청과,서울청과,000000000000003,3,3000,4,상인,0000000003,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,1Z,무등급,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536873,,,20050202,10,100,서울청과,서울청과,000000000000004,4,1800,4,상인,0000000004,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,1Z,무등급,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000104,6005610,539000,,,20050202,6000,1,동화청과,동화청과,000000000002558,5,1750000,1,협동,0000002558,101,상자,101,1,58900,전라남도 진도군,1001,1001,배추,배추,12,상,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000105,6005605,536000,,,20050202,10,680,한국청과,한국청과,000000000004058,6,2800,3,개별,0000004058,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000105,6005605,536000,,,20050202,10,78,한국청과,한국청과,000000000004059,7,1680,3,개별,0000004059,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,1Z,무등급,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000105,6005605,536000,,,20050202,10,20,한국청과,한국청과,000000000004060,8,1680,3,개별,0000004060,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000105,6005605,539000,,,20050202,6,1,한국청과,한국청과,000000000004061,9,1770000,3,개별,0000004061,106,트럭,1ZZ,기타,58900,전라남도 진도군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,13,ton,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000105,6005605,536000,,,20050202,6,1,한국청과,한국청과,000000000004062,10,1380000,3,개별,0000004062,106,트럭,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,13,ton,110001,1005601,가락동농수산물시장,서울가락도매시장
