aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,678890,3408,배추,20190416,2,40,농협부산(공),농협부산(공),000000000001538,1,5500,2,계통,00010,101,상자,1ZZ,기타,50200,경상남도 합천군,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,678890,3408,배추,20190416,2,40,농협부산(공),농협부산(공),000000000001538,2,5500,2,계통,00020,101,상자,1ZZ,기타,50200,경상남도 합천군,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617030,3408,배추,20190416,2,25,농협부산(공),농협부산(공),000000000001570,3,5700,2,계통,00010,101,상자,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617030,3408,배추,20190416,2,25,농협부산(공),농협부산(공),000000000001570,4,5800,2,계통,00020,101,상자,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617030,3408,배추,20190416,2,27,농협부산(공),농협부산(공),000000000001570,5,6200,2,계통,00030,101,상자,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617030,3408,배추,20190416,2,30,농협부산(공),농협부산(공),000000000001570,6,6000,2,계통,00040,101,상자,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,536000,3413,배추,20190416,8,48,농협부산(공),농협부산(공),000000000001648,7,8900,2,계통,00010,101,상자,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,701300,3408,배추,20190416,2,22,농협부산(공),농협부산(공),000000000001716,8,5400,3,개별,00020,101,상자,1ZZ,기타,41000,대구광역시 동구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000101,6046902,617030,3499,배추,20190416,10,1200,농협부산(공),농협부산(공),000000000002810,9,2500,2,계통,00010,105,그물망,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000101,6046902,617030,3499,배추,20190416,10,800,농협부산(공),농협부산(공),000000000002811,10,2500,2,계통,00010,105,그물망,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000101,6046902,617030,3499,배추,20190416,10,800,농협부산(공),농협부산(공),000000000002812,11,2500,2,계통,00010,105,그물망,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000101,6046902,138701,3413,배추,20190416,8,8,농협부산(공),농협부산(공),000000000020001,12,14600,3,개별,00130,101,상자,101,1,05600,서울특별시 송파구,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000101,6046902,138701,3413,배추,20190416,8,5,농협부산(공),농협부산(공),000000000020001,13,14600,3,개별,00140,101,상자,119,19,05600,서울특별시 송파구,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000101,6046902,138701,3413,배추,20190416,8,10,농협부산(공),농협부산(공),000000000020001,14,14497,3,개별,00990,101,상자,109,9,05600,서울특별시 송파구,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000102,6046907,712000,21117,배추,20190416,2,24,부산청과,부산청과,20012,15,3300,3,개별,02,101,상자,1ZZ,기타,38400,경상북도 경산시,1001,1001,배추,배추,13,보통,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000102,6046907,500000,21117,배추,20190416,10,21,부산청과,부산청과,20154,16,9700,3,개별,01,101,상자,1ZZ,기타,61100,광주광역시 북구,1001,1001,배추,배추,13,보통,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000102,6046907,500000,21117,배추,20190416,10,10,부산청과,부산청과,20156,17,10300,3,개별,01,101,상자,1ZZ,기타,61100,광주광역시 북구,1001,1001,배추,배추,13,보통,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000102,6046907,500000,21117,배추,20190416,10,24,부산청과,부산청과,20163,18,7000,3,개별,01,101,상자,1ZZ,기타,61100,광주광역시 북구,1001,1001,배추,배추,13,보통,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000102,6046907,621000,21107,단배추,20190416,1,200,부산청과,부산청과,90001,19,800,3,개별,02,111,단,1ZZ,기타,50800,경상남도 김해시,1001,1001,배추,배추,13,보통,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000102,6046907,635000,21100,배추,20190416,10,200,부산청과,부산청과,90014,20,3000,3,개별,01,105,그물망,1ZZ,기타,50300,경상남도 창녕군,1001,1001,배추,배추,13,보통,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000102,6046907,600000,21107,단배추,20190416,1,100,부산청과,부산청과,90015,21,600,4,상인,03,111,단,1ZZ,기타,48900,부산광역시 중구,1001,1001,배추,배추,13,보통,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000102,6046907,138160,21107,단배추,20190416,4,50,부산청과,부산청과,90016,22,2000,3,개별,01,101,상자,1ZZ,기타,05600,서울특별시 송파구,1001,1001,배추,배추,13,보통,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000102,6046907,138160,21100,배추,20190416,10,20,부산청과,부산청과,90018,23,13000,3,개별,07,101,상자,1ZZ,기타,05600,서울특별시 송파구,1001,1001,배추,배추,13,보통,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,678000,0000021113,배추,20190416,2,60,항도청과,항도청과,000000000000104,24,6000,1,협동,00001,101,상자,111,11,50200,경상남도 합천군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,678000,0000021113,배추,20190416,4,10,항도청과,항도청과,000000000000104,25,2200,1,협동,00002,108,봉지,111,11,50200,경상남도 합천군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,678000,0000021113,배추,20190416,2,25,항도청과,항도청과,000000000000316,26,4730,1,협동,00001,101,상자,111,11,50200,경상남도 합천군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,678000,0000021113,배추,20190416,2,25,항도청과,항도청과,000000000000316,27,4730,1,협동,00002,101,상자,111,11,50200,경상남도 합천군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,678000,0000021113,배추,20190416,2,39,항도청과,항도청과,000000000000317,28,4730,1,협동,00001,101,상자,111,11,50200,경상남도 합천군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,678000,0000021113,배추,20190416,2,1,항도청과,항도청과,000000000000317,29,4730,1,협동,00002,101,상자,111,11,50200,경상남도 합천군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,903000,0000021113,배추,20190416,2,22,항도청과,항도청과,000000000000353,30,6600,1,협동,00001,101,상자,111,11,90300,대구광역시,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,903000,0000021113,배추,20190416,2,27,항도청과,항도청과,000000000000365,31,6880,1,협동,00001,101,상자,111,11,90300,대구광역시,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,903000,0000021113,배추,20190416,2,27,항도청과,항도청과,000000000000368,32,6320,1,협동,00001,101,상자,111,11,90300,대구광역시,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,712000,0000021113,배추,20190416,2,40,항도청과,항도청과,000000000000392,33,4000,3,개별,00002,101,상자,111,11,38400,경상북도 경산시,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,712000,0000021113,배추,20190416,2,40,항도청과,항도청과,000000000000392,34,4200,3,개별,00003,101,상자,111,11,38400,경상북도 경산시,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,712000,0000021113,배추,20190416,2,56,항도청과,항도청과,000000000000393,35,5880,3,개별,00001,101,상자,111,11,38400,경상북도 경산시,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,712000,0000021113,배추,20190416,4,26,항도청과,항도청과,000000000000393,36,2200,3,개별,00002,108,봉지,111,11,38400,경상북도 경산시,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000103,6046901,621000,0000021100,배추,20190416,10,740,항도청과,항도청과,000000000001002,37,4000,3,개별,00001,105,그물망,111,11,50800,경상남도 김해시,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000103,6046901,668000,0000021113,배추,20190416,8,55,항도청과,항도청과,000000000001193,38,12000,3,개별,00003,101,상자,111,11,52400,경상남도 남해군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000198,6046905,536800,16,배추,20190416,8,1,무배추조합,무배추조합,13,39,2410000,1,협동,00001,106,트럭,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100106,100106,저장배추,저장배추,13,ton,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000198,6046905,536800,16,배추,20190416,8,1,무배추조합,무배추조합,14,40,2250000,1,협동,00001,106,트럭,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100106,100106,저장배추,저장배추,13,ton,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000198,6046905,536800,16,배추,20190416,8,1,무배추조합,무배추조합,15,41,2417000,1,협동,00001,106,트럭,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100106,100106,저장배추,저장배추,13,ton,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000198,6046905,536800,16,배추,20190416,8,1,무배추조합,무배추조합,16,42,2417000,1,협동,00001,106,트럭,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100106,100106,저장배추,저장배추,13,ton,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
2,정가수의,10,10,엽경채류,엽경채류,21000198,6046905,536800,16,배추,20190416,10,1,무배추조합,무배추조합,17,43,1048000,1,협동,00001,106,트럭,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100106,100106,저장배추,저장배추,13,ton,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
